csúcsid;alcsúcsid;kapcsolat
m758;-1;m759,
m758;0;m759,
m759;0;
m759;1;
m759;2;
m759;3;
m759;4;
m760;0;
m760;1;
m760;2;
m760;3;
m760;4;
m761;0;
m761;1;
m761;2;
m761;3;
m762;0;m764,
m762;1;m764,
m762;2;m764,
m763;0;m764,
m763;1;m764,
m763;2;m764,
m764;0;
m764;1;
m764;2;
m765;-1;m766,m767,
m765;0;m766,m767,
m765;1;m766,m767,
m765;2;m766,m767,
m765;3;m766,m767,
m765;4;m766,m767,
m765;5;m766,m767,
m765;6;m766,m767,
m765;7;m766,m767,
m765;8;m766,m767,
m765;9;m766,m767,
