csúcsid;alcsúcsid;kapcsolat
m319;0;m78,m317,m1015,
m319;1;m78,m317,m1015,
m319;2;m78,m317,m1015,
m320;0;m1015,
m320;1;m1015,
m320;2;m1015,
m321;-1;
m321;1;
m322;0;
m322;1;
m322;2;
m323;0;
m323;1;
m323;2;
m324;0;
m324;1;
m324;2;
m325;0;
m325;1;
m325;2;
m326;0;
m326;1;
m326;2;
m327;0;
m327;1;
m327;2;
m329;-1;m341,m342,
m329;0;m341,m342,
m329;1;m341,m342,
m329;2;m341,m342,
m329;3;m341,m342,
m330;-1;m341,m342,
m330;0;m341,m342,
m330;1;m341,m342,
m330;2;m341,m342,
m330;3;m341,m342,
m331;-1;m341,m342,
m331;0;m341,m342,
m331;1;m341,m342,
m331;2;m341,m342,
m331;3;m341,m342,
m332;-1;m333,m341,m342,
m332;0;m333,m341,m342,
m332;1;m333,m341,m342,
m332;2;m333,m341,m342,
m332;3;m333,m341,m342,
m333;0;m341,m342,
m334;-1;m341,m342,
m334;0;m341,m342,
m334;1;m341,m342,
m334;2;m341,m342,
m334;3;m341,m342,
m335;-1;m341,m342,
m335;0;m341,m342,
m335;1;m341,m342,
m336;-1;m341,m342,
m336;0;m341,m342,
m336;1;m341,m342,
m336;2;m341,m342,
m336;3;m341,m342,
m337;-1;m341,m342,
m337;0;m341,m342,
m337;1;m341,m342,
m337;2;m341,m342,
m337;3;m341,m342,
m338;-1;m341,m342,
m338;0;m341,m342,
m338;1;m341,m342,
m338;2;m341,m342,
m338;3;m341,m342,
m339;-1;m341,m342,
m339;0;m341,m342,
m339;1;m341,m342,
m339;2;m341,m342,
m339;3;m341,m342,
m340;-1;m341,m342,
m340;0;m341,m342,
m340;1;m341,m342,
m340;2;m341,m342,
m340;3;m341,m342,
m341;0;m342,
m342;-1;
m342;1;
m342;2;
m342;3;
m344;0;
m344;1;
m344;2;
m348;0;m361,
m348;1;m361,
m348;2;m361,
m352;0;m361,
m352;1;m361,
m352;2;m361,
m354;0;
m354;1;
m354;2;
m356;0;
m356;1;
m356;2;
m358;0;
m358;1;
m358;2;
m360;0;
m360;1;
m360;2;
m361;0;
m361;1;
m361;2;
m362;0;
m362;1;
m362;2;
m363;0;
m363;1;
m363;2;
m364;0;
m364;1;
m364;2;
m365;0;
m365;1;
m365;2;
m365;3;
m366;0;
m366;1;
m366;2;
m366;3;
m367;0;
m367;1;
m367;2;
m367;3;
m368;0;
m368;1;
m368;2;
m368;3;
m369;0;
m369;1;
m369;2;
m369;3;
m370;0;
m370;1;
m370;2;
m371;0;
m371;1;
m371;2;
m371;3;
m372;0;
m372;1;
m372;2;
m372;3;
m373;0;
m373;1;
m373;2;
m374;0;
m374;1;
m374;2;
m375;0;m386,m415,
m375;1;m386,m415,
m375;2;m386,m415,
m376;0;m386,m415,
m376;1;m386,m415,
m376;2;m386,m415,
m377;0;m386,m415,
m377;1;m386,m415,
m377;2;m386,m415,
m378;0;m386,m415,
m378;1;m386,m415,
m378;2;m386,m415,
m379;0;m386,m415,
m379;1;m386,m415,
m379;2;m386,m415,
m380;0;m386,
m380;1;m386,
m380;2;m386,
m381;0;m386,
m381;1;m386,
m381;2;m386,
m382;0;m386,m415,
m382;1;m386,m415,
m382;2;m386,m415,
m383;0;m386,m415,
m383;1;m386,m415,
m383;2;m386,m415,
m384;0;m386,m415,
m384;1;m386,m415,
m384;2;m386,m415,
m385;0;m386,m415,
m385;1;m386,m415,
m385;2;m386,m415,
m386;1;
m386;2;
m386;3;
m386;4;
m387;0;m386,m415,
m387;1;m386,m415,
m387;2;m386,m415,
m388;0;
m388;1;
m388;2;
m388;3;
m390;0;
m390;1;
m390;2;
m392;0;
m392;1;
m392;2;
m393;0;
m393;1;
m393;2;
m395;0;
m395;1;
m395;2;
m395;3;
m395;4;
m395;5;
m396;0;
m396;1;
m396;2;
m397;0;m415,
m397;1;m415,
m397;2;m415,
m398;0;m415,
m398;1;m415,
m398;2;m415,
m399;0;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;1;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;2;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;3;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;4;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;5;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;6;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;7;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;8;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;9;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;10;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;11;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;12;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;13;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;14;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m399;15;m400,m430,m406,m416,m765,m769,m407,m417,m766,m767,m770,m556,
m400;-1;m406,m416,m765,m407,m417,m766,m767,m556,
m400;0;m406,m416,m765,m407,m417,m766,m767,m556,
m400;1;m406,m416,m765,m407,m417,m766,m767,m556,
m400;2;m406,m416,m765,m407,m417,m766,m767,m556,
m400;3;m406,m416,m765,m407,m417,m766,m767,m556,
m400;4;m406,m416,m765,m407,m417,m766,m767,m556,
m400;6;m406,m416,m765,m407,m417,m766,m767,m556,
m400;8;m406,m416,m765,m407,m417,m766,m767,m556,
m400;9;m406,m416,m765,m407,m417,m766,m767,m556,
m400;12;m406,m416,m765,m407,m417,m766,m767,m556,
m401;-1;m406,m416,m765,m407,m417,m766,m767,m556,
m401;0;m406,m416,m765,m407,m417,m766,m767,m556,
m401;1;m406,m416,m765,m407,m417,m766,m767,m556,
m401;2;m406,m416,m765,m407,m417,m766,m767,m556,
m401;3;m406,m416,m765,m407,m417,m766,m767,m556,
m402;-1;m406,m416,m431,m768,m407,m417,m556,
m402;0;m406,m416,m431,m768,m407,m417,m556,
m402;1;m406,m416,m431,m768,m407,m417,m556,
m402;2;m406,m416,m431,m768,m407,m417,m556,
m402;4;m406,m416,m431,m768,m407,m417,m556,
